"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","response","values","sum","mean","median","min","max","count","variance","sd","frequencies","all","subset"
"655.8449999993172","<h1 style=""color:white;"">Welcome to the experiment!</h1><p style=""color:white;"">Press any key to begin.</p>","32","html-keyboard-response","0","658","0.0-0.0","","","","","","","","","","","","","",""
"173.1450000006589","<h2 style=""color:white;"">You will now see a series of pictures. </h2><h3 style=""color:white;"">Some of the pictures will be <b>positive</b>, like pictures of babies.   </h3><h3 style=""color:white;"">Some will be <b>negative</b>, like pictures of sharks or sad people. </h3><h3 style=""color:white;""> Some will be <b>neutral</b>, like pictures of a clock or desk.</h3><p style=""color:white;""> Press the spacebar to continue.</p>","32","html-keyboard-response","1","832","0.0-1.0-0.0","","","","","","","","","","","","","",""
"523.9699999983713","<h2 style=""color:white;"">We want you to tell us how each picture makes you <b>feel</b>.</h2> <h3 style=""color:white;"">You will make <b>3 ratings</b> for each picture.</h3> <p style=""color:white;""> Press the spacebar to continue.</p>","32","html-keyboard-response","2","1356","0.0-1.0-1.0","","","","","","","","","","","","","",""
"192.64000000111992","<h2 style=""color:white;"">The first rating you will be asked to make is a rating of how <b>pleasant</b> you feel when you see the photo.</h2> <h3 style=""color:white;""><b>""Pleasantness""</b>  refers to how <b>happy</b> or <b>good</b> you feel when you see each photo and how much you like looking at it.</h3> <p style=""color:white;""> Press the spacebar to continue.</p>","32","html-keyboard-response","3","1550","0.0-1.0-2.0","","","","","","","","","","","","","",""
"189.3099999997503","<h2 style=""color:white;""><b>Pleasantness</b></h2> <h3 style=""color:white;"">This is the <b>pleasantness scale</b> that you will use to rate how <b>positive</b> you feel when you see each picture.</h3><img class='center' style='width:453px; height:215px;' src='scale/BlankScalePleasant.png'></img><p style=""color:white;""> Press the spacebar to continue.</p>","32","html-keyboard-response","4","1740","0.0-1.0-3.0","","","","","","","","","","","","","",""
"283.0899999989924","<h2 style=""color:white;"">The second rating you will be asked to make is a rating of how <b>unpleasant</b> you feel when you see the photo.</h2> <h3 style=""color:white;""><b>""Unpleasantness""</b> refers to how <b>bad</b> or <b>unhappy</b> you feel when you see each photo.</h3><p style=""color:white;""> Press the spacebar to continue.</p>","32","html-keyboard-response","5","2024","0.0-1.0-4.0","","","","","","","","","","","","","",""
"217.384999999922","<h2 style=""color:white;""><b>Unpleasantness</b></h2> <h3 style=""color:white;"">This is the <b>unpleasantness scale</b> that you will use to rate how <b>negative</b> you feel when you see each picture.</h3><img class='center' style='width:451px; height:211px;' src='scale/BlankScaleUnpleasant.png'></img><p style=""color:white;""> Press the spacebar to continue.</p>","32","html-keyboard-response","6","2242","0.0-1.0-5.0","","","","","","","","","","","","","",""
"178.5650000001624","<h2 style=""color:white;"">You should decide how to rate each photo on the basis of how <b>pleasant</b> or <b>unpleasant</b> you feel when you see it.</h2> <h3 style=""color:white;"">There are no ""right"" or ""wrong"" answers for rating the photos.</h3> <h3 style=""color:white;"">Just go by how much you like or dislike each one.</h3> <p style=""color:white;""> Press the spacebar to continue.</p>","32","html-keyboard-response","7","2421","0.0-1.0-6.0","","","","","","","","","","","","","",""
"175.7049999996525","<h2 style=""color:white;"">The third rating you will be asked to make is a rating of how <b>arousing</b> or <b>exciting</b> each picture makes you feel.</h2> <h3 style=""color:white;""><b>""Arousing""</b> refers to how <b>excited</b> or <b>keyed-up</b> the photo makes you feel.<h3><h3 style=""color:white;"">Some of the pictures will be <b>highly arousing</b> and some will make you feel more <b>calm</b> or <b>sleepy</b>.</h3> <p style=""color:white;""> Press the spacebar to continue.</p>","32","html-keyboard-response","8","2598","0.0-1.0-7.0","","","","","","","","","","","","","",""
"201.0150000005524","<h2 style=""color:white;""><b>Arousal</b></h2> <p style=""color:white;"">This is the <b>arousal scale</b> that you will use to rate how <b>calm to excited</b> you feel when you see each picture.</p><img class='center' style='width:538px; height:222px;' src='scale/BlankScaleArousal.png'></img><p style=""color:white;""> Press the spacebar to continue.</p>","32","html-keyboard-response","9","2800","0.0-1.0-8.0","","","","","","","","","","","","","",""
"271.6499999987718","<h2 style=""color:white;"">Now we will have you rate some pictures for how <b>positive</b>, how <b>negative</b>, and how <b>arousing</b> they make you feel.</h2> <h3 style=""color:white;"">Please press the number on top of your keybaord that corresponds to your choice.</h3> <p style=""color:white;""> Press the spacebar to continue.</p>","32","html-keyboard-response","10","3072","0.0-1.0-9.0","","","","","","","","","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","11","4074","0.0-2.0-0.0","fixation","","","","","","","","","","","","",""
"null","","null","html-keyboard-response","12","7078","0.0-2.0-1.0","pleasant","","","","","","","","","","","","",""
"188444.4600000006","<h2 style=""color:white; text-align:center;"">How pleasant?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2205.bmp'><img class='center' src='scale/BlankScalePleasant.png'>","49","html-keyboard-response","13","195525","0.0-2.0-2.0","pleasant","1","","","","","","","","","","","",""
"142.24999999898137","<h2 style=""color:white; text-align:center;"">How pleasant?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2205.bmp'><img class='center' src='scale/PleasantScale1.jpg'>","49","html-keyboard-response","14","197528","0.0-2.0-3.0","","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","","null","html-keyboard-response","15","200532","0.0-2.0-4.0","unpleasant","","","","","","","","","","","","",""
"3918005.1950000017","<h2 style=""color:white; text-align:center;"">How unpleasant?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2205.bmp'><img class='center' src='scale/BlankScaleUnpleasant.png'>","53","html-keyboard-response","16","4118561","0.0-2.0-5.0","unpleasant","5","","","","","","","","","","","",""
"null","<h2 style=""color:white; text-align:center;"">How unpleasant?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2205.bmp'><img class='center' src='scale/UnpleasantScale5.jpg'>","null","html-keyboard-response","17","4120564","0.0-2.0-6.0","","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","","null","html-keyboard-response","18","4123568","0.0-2.0-7.0","arousal","","","","","","","","","","","","",""
"540.7949999989942","<h2 style=""color:white; text-align:center;"">How arousing/exciting?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2205.bmp'><img class='center' src='scale/BlankScaleArousal.png'>","53","html-keyboard-response","19","4124110","0.0-2.0-8.0","arousal","5","","","","","","","","","","","",""
"null","<h2 style=""color:white; text-align:center;"">How arousing/exciting?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2205.bmp'><img class='center' src='scale/ArousalScale5.jpg'>","null","html-keyboard-response","20","4126113","0.0-2.0-9.0","","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","21","4127121","0.0-2.0-0.1","fixation","","","","","","","","","","","","",""
"null","","null","html-keyboard-response","22","4130124","0.0-2.0-1.1","pleasant","","","","","","","","","","","","",""
"526.2799999997951","<h2 style=""color:white; text-align:center;"">How pleasant?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2190.bmp'><img class='center' src='scale/BlankScalePleasant.png'>","53","html-keyboard-response","23","4130652","0.0-2.0-2.1","pleasant","5","","","","","","","","","","","",""
"null","<h2 style=""color:white; text-align:center;"">How pleasant?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2190.bmp'><img class='center' src='scale/PleasantScale5.jpg'>","null","html-keyboard-response","24","4132656","0.0-2.0-3.1","","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","","null","html-keyboard-response","25","4135660","0.0-2.0-4.1","unpleasant","","","","","","","","","","","","",""
"650.7350000008009","<h2 style=""color:white; text-align:center;"">How unpleasant?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2190.bmp'><img class='center' src='scale/BlankScaleUnpleasant.png'>","53","html-keyboard-response","26","4136312","0.0-2.0-5.1","unpleasant","5","","","","","","","","","","","",""
"null","<h2 style=""color:white; text-align:center;"">How unpleasant?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2190.bmp'><img class='center' src='scale/UnpleasantScale5.jpg'>","null","html-keyboard-response","27","4138317","0.0-2.0-6.1","","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","","null","html-keyboard-response","28","4141323","0.0-2.0-7.1","arousal","","","","","","","","","","","","",""
"1021.2199999983422","<h2 style=""color:white; text-align:center;"">How arousing/exciting?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2190.bmp'><img class='center' src='scale/BlankScaleArousal.png'>","53","html-keyboard-response","29","4142346","0.0-2.0-8.1","arousal","5","","","","","","","","","","","",""
"null","<h2 style=""color:white; text-align:center;"">How arousing/exciting?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2190.bmp'><img class='center' src='scale/ArousalScale5.jpg'>","null","html-keyboard-response","30","4144348","0.0-2.0-9.1","","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","31","4145352","0.0-2.0-0.2","fixation","","","","","","","","","","","","",""
"null","","null","html-keyboard-response","32","4148353","0.0-2.0-1.2","pleasant","","","","","","","","","","","","",""
