"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","values","sum","mean","median","min","max","count","variance","sd","frequencies","all","subset"
"851","<p style=""color:white;"">Welcome to the experiment! <br/>Press any key to begin.</p>","32","html-keyboard-response","0","857","0.0-0.0","","","","","","","","","","","","",""
"191","<p style=""color:white;"">You will now see a series of pictures </p><p style=""color:white;"">Some of the pictures will be positive, like pictures of babies.   </p><p style=""color:white;"">Some will be negative, like pictures of sharks or sad people. </p><p style=""color:white;""> Some will be neutral, like pictures of a clock or desk</p>","32","html-keyboard-response","1","1051","0.0-1.0","","","","","","","","","","","","",""
"188","<p style=""color:white;"">We want you to tell us how each picture makes you feel.</p> <p style=""color:white;"">You will make 3 ratings for each picture.</p> ","32","html-keyboard-response","2","1241","0.0-2.0","","","","","","","","","","","","",""
"180","<p style=""color:white;"">The first rating you will be asked to make is a rating of how pleasant you feel when you see the photo.</p> <p style=""color:white;"">""Pleasantness"" refers to how happy or good you feel when you see each photo and how much you like looking at it.</p> ","32","html-keyboard-response","3","1423","0.0-3.0","","","","","","","","","","","","",""
"156","<p style=""color:white;"">Pleasentness rating scale </p> <img class='center' style='width:500px; height:300px;' src='scale/BlankScalePleasant.png'></img>","32","html-keyboard-response","4","1581","0.0-4.0","","","","","","","","","","","","",""
"386","<p style=""color:white;"">The second rating you will be asked to make is a rating of how unpleasant you feel when you see the photo.</p> <p style=""color:white;"">""Unpleasantness"" refers to how bad or unhappy you feel when you see each photo.</p>","32","html-keyboard-response","5","1966","0.0-5.0","","","","","","","","","","","","",""
"207","<p style=""color:white;"">Unpleasentness rating scale</p> <img class='center' style='width:500px; height:300px;' src='scale/BlankScaleUnpleasant.png'></img>","32","html-keyboard-response","6","2177","0.0-6.0","","","","","","","","","","","","",""
"218","<p style=""color:white;"">You should decide how to rate each photo on the basis of how pleasant or unpleasant you feel when you see it.</p> <p style=""color:white;"">There are no ""right"" or ""wrong"" answers for rating the photos.</p> <p Just go by how much you like or dislike each one.</p> ","32","html-keyboard-response","7","2396","0.0-7.0","","","","","","","","","","","","",""
"664","<p style=""color:white;"">The third rating you will be asked to make is a rating of how arousing or exciting each picture makes you feel.</p> <p style=""color:white;"">""Arousing"" refers to how excited or keyed-up the photo makes you feel. Some of the pictures will be highly arousing and some will make you feel more calm or sleepy.</p> ","32","html-keyboard-response","8","3062","0.0-8.0","","","","","","","","","","","","",""
"745","<p style=""color:white;"">Arousal rating scale</p> <img class='center' style='width:600px; height:300px;' src='scale/BlankScaleArousal.png'></img>","32","html-keyboard-response","9","3811","0.0-9.0","","","","","","","","","","","","",""
"503","<p style=""color:white;"">Now we will have you rate some pictures for how positive, how negative, and how arousing they make you feel.</p> ","32","html-keyboard-response","10","4315","0.0-10.0","","","","","","","","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","11","5322","0.0-11.0-0.0","fixation","","","","","","","","","","","",""
"null","","null","html-keyboard-response","12","5826","0.0-11.0-1.0","","","","","","","","","","","","",""
"1109","<p style=""color:white; text-align:center;"">How pleasant?</p> <img class='center' style='width:500px; height:500px;' src='stim/8492.bmp'><img id='pleasant' class='center' src='scale/BlankScalePleasant.png'>","49","html-keyboard-response","13","6938","0.0-11.0-2.0","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"328","<p style=""color:white; text-align:center;"">How pleasant?</p> <img class='center' style='width:500px; height:500px;' src='stim/8492.bmp'><img id='pleasant' class='center' src='scale/PleasantScale1.jpg'>","32","html-keyboard-response","14","7445","0.0-11.0-3.0","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"80","","49","html-keyboard-response","15","7525","0.0-11.0-4.0","","","","","","","","","","","","",""
"553","<p style=""color:white; text-align:center;"">How unpleasant?</p> <img class='center' style='width:500px; height:500px;' src='stim/8492.bmp'><img class='center' src='scale/BlankScaleUnpleasant.png'>","49","html-keyboard-response","16","8079","0.0-11.0-5.0","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","<p style=""color:white; text-align:center;"">How unpleasant?</p> <img class='center' style='width:500px; height:500px;' src='stim/8492.bmp'><img id='pleasant' class='center' src='scale/UnpleasantScale1.jpg'>","null","html-keyboard-response","17","8585","0.0-11.0-6.0","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"181","","32","html-keyboard-response","18","8767","0.0-11.0-7.0","","","","","","","","","","","","",""
"495","<p style=""color:white; text-align:center;"">How arousing/exciting?</p> <img class='center' style='width:500px; height:500px;' src='stim/8492.bmp'><img class='center' src='scale/BlankScaleArousal.png'>","49","html-keyboard-response","19","9263","0.0-11.0-8.0","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","<p style=""color:white; text-align:center;"">How arousing/exciting?</p> <img class='center' style='width:500px; height:500px;' src='stim/8492.bmp'><img id='pleasant' class='center' src='scale/ArousalScale1.jpg'>","null","html-keyboard-response","20","9768","0.0-11.0-9.0","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","21","10771","0.0-11.0-0.1","fixation","","","","","","","","","","","",""
"null","","null","html-keyboard-response","22","11273","0.0-11.0-1.1","","","","","","","","","","","","",""
"839","<p style=""color:white; text-align:center;"">How pleasant?</p> <img class='center' style='width:500px; height:500px;' src='stim/4622.bmp'><img id='pleasant' class='center' src='scale/BlankScalePleasant.png'>","50","html-keyboard-response","23","12114","0.0-11.0-2.1","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","<p style=""color:white; text-align:center;"">How pleasant?</p> <img class='center' style='width:500px; height:500px;' src='stim/4622.bmp'><img id='pleasant' class='center' src='scale/PleasantScale2.jpg'>","null","html-keyboard-response","24","12621","0.0-11.0-3.1","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","","null","html-keyboard-response","25","13126","0.0-11.0-4.1","","","","","","","","","","","","",""
"442","<p style=""color:white; text-align:center;"">How unpleasant?</p> <img class='center' style='width:500px; height:500px;' src='stim/4622.bmp'><img class='center' src='scale/BlankScaleUnpleasant.png'>","50","html-keyboard-response","26","13568","0.0-11.0-5.1","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"410","<p style=""color:white; text-align:center;"">How unpleasant?</p> <img class='center' style='width:500px; height:500px;' src='stim/4622.bmp'><img id='pleasant' class='center' src='scale/UnpleasantScale2.jpg'>","50","html-keyboard-response","27","14071","0.0-11.0-6.1","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","","null","html-keyboard-response","28","14574","0.0-11.0-7.1","","","","","","","","","","","","",""
"2147","<p style=""color:white; text-align:center;"">How arousing/exciting?</p> <img class='center' style='width:500px; height:500px;' src='stim/4622.bmp'><img class='center' src='scale/BlankScaleArousal.png'>","50","html-keyboard-response","29","16723","0.0-11.0-8.1","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","<p style=""color:white; text-align:center;"">How arousing/exciting?</p> <img class='center' style='width:500px; height:500px;' src='stim/4622.bmp'><img id='pleasant' class='center' src='scale/ArousalScale2.jpg'>","null","html-keyboard-response","30","17230","0.0-11.0-9.1","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","31","18233","0.0-11.0-0.2","fixation","","","","","","","","","","","",""
"null","","null","html-keyboard-response","32","18735","0.0-11.0-1.2","","","","","","","","","","","","",""
"379","<p style=""color:white; text-align:center;"">How pleasant?</p> <img class='center' style='width:500px; height:500px;' src='stim/7000.bmp'><img id='pleasant' class='center' src='scale/BlankScalePleasant.png'>","50","html-keyboard-response","33","19115","0.0-11.0-2.2","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","<p style=""color:white; text-align:center;"">How pleasant?</p> <img class='center' style='width:500px; height:500px;' src='stim/7000.bmp'><img id='pleasant' class='center' src='scale/PleasantScale2.jpg'>","null","html-keyboard-response","34","19619","0.0-11.0-3.2","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","","null","html-keyboard-response","35","20124","0.0-11.0-4.2","","","","","","","","","","","","",""
"1593","<p style=""color:white; text-align:center;"">How unpleasant?</p> <img class='center' style='width:500px; height:500px;' src='stim/7000.bmp'><img class='center' src='scale/BlankScaleUnpleasant.png'>","50","html-keyboard-response","36","21717","0.0-11.0-5.2","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","<p style=""color:white; text-align:center;"">How unpleasant?</p> <img class='center' style='width:500px; height:500px;' src='stim/7000.bmp'><img id='pleasant' class='center' src='scale/UnpleasantScale2.jpg'>","null","html-keyboard-response","37","22224","0.0-11.0-6.2","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","","null","html-keyboard-response","38","22724","0.0-11.0-7.2","","","","","","","","","","","","",""
"111","<p style=""color:white; text-align:center;"">How arousing/exciting?</p> <img class='center' style='width:500px; height:500px;' src='stim/7000.bmp'><img class='center' src='scale/BlankScaleArousal.png'>","50","html-keyboard-response","39","22835","0.0-11.0-8.2","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
